"File","Line","Before","After","Pattern"
"src\components\admin\AdminSecurityPanel.tsx","185","<div className=""text-center py-8 text-red-600"">","<div className=""text-center py-8 text-destructive"">","text-red-600 -> text-destructive"
"src\components\admin\EnrollmentAnalyticsPanel.tsx","236","<div className=""text-3xl font-bold text-green-600"">{churchData.length}</div>","<div className=""text-3xl font-bold text-primary"">{churchData.length}</div>","text-green-600 -> text-primary"
"src\components\admin\FeedbackQuestionsManager.tsx","323","boolean: 'bg-green-100 text-green-800',","boolean: 'bg-primary/10 text-green-800',","bg-green-100 -> bg-primary/10"
"src\components\admin\FeedbackQuestionsManager.tsx","324","textarea: 'bg-gray-100 text-gray-800',","textarea: 'bg-muted text-gray-800',","bg-gray-100 -> bg-muted"
"src\components\admin\FeedbackQuestionsManager.tsx","324","textarea: 'bg-muted text-gray-800',","textarea: 'bg-muted text-foreground',","text-gray-800 -> text-foreground"
"src\components\admin\GuardrailViolationsPanel.tsx","191","<div className=""text-3xl font-bold text-green-600"">{summary.length}</div>","<div className=""text-3xl font-bold text-primary"">{summary.length}</div>","text-green-600 -> text-primary"
"src\components\admin\GuardrailViolationsPanel.tsx","198","<CheckCircle className=""h-12 w-12 mx-auto mb-3 text-green-500"" />","<CheckCircle className=""h-12 w-12 mx-auto mb-3 text-primary"" />","text-green-500 -> text-primary"
"src\components\admin\GuardrailViolationsPanel.tsx","268","<Badge variant=""secondary"" className=""bg-green-100 text-green-800"">","<Badge variant=""secondary"" className=""bg-primary/10 text-green-800"">","bg-green-100 -> bg-primary/10"
"src\components\admin\OrganizationManagement.tsx","322","return <Badge className=""bg-green-500"">Approved</Badge>;","return <Badge className=""bg-primary"">Approved</Badge>;","bg-green-500 -> bg-primary"
"src\components\admin\OrganizationManagement.tsx","542","className=""text-green-600""","className=""text-primary""","text-green-600 -> text-primary"
"src\components\admin\OrganizationManagement.tsx","550","className=""text-red-600""","className=""text-destructive""","text-red-600 -> text-destructive"
"src\components\admin\SystemAnalyticsDashboard.tsx","574","<TrendingUp className=""h-6 w-6 mx-auto mb-2 text-green-600"" />","<TrendingUp className=""h-6 w-6 mx-auto mb-2 text-primary"" />","text-green-600 -> text-primary"
"src\components\admin\SystemAnalyticsDashboard.tsx","667","<Badge variant=""secondary"" className=""bg-green-100 text-green-800"">","<Badge variant=""secondary"" className=""bg-primary/10 text-green-800"">","bg-green-100 -> bg-primary/10"
"src\components\admin\SystemAnalyticsDashboard.tsx","796","? 'text-red-600'","? 'text-destructive'","text-red-600 -> text-destructive"
"src\components\admin\SystemAnalyticsDashboard.tsx","799",": 'text-green-600'",": 'text-primary'","text-green-600 -> text-primary"
"src\components\admin\SystemAnalyticsDashboard.tsx","829","apiUsage.rateLimitHitsTotal > 0 ? 'text-red-600' : 'text-green-600'","apiUsage.rateLimitHitsTotal > 0 ? 'text-red-600' : 'text-primary'","text-green-600 -> text-primary"
"src\components\admin\SystemAnalyticsDashboard.tsx","829","apiUsage.rateLimitHitsTotal > 0 ? 'text-red-600' : 'text-primary'","apiUsage.rateLimitHitsTotal > 0 ? 'text-destructive' : 'text-primary'","text-red-600 -> text-destructive"
"src\components\admin\SystemAnalyticsDashboard.tsx","834","<p className=""text-[10px] text-red-600 mt-1"">","<p className=""text-[10px] text-destructive mt-1"">","text-red-600 -> text-destructive"
"src\components\admin\SystemAnalyticsDashboard.tsx","873","<CheckCircle className=""h-6 w-6 mx-auto mb-2 text-green-600"" />","<CheckCircle className=""h-6 w-6 mx-auto mb-2 text-primary"" />","text-green-600 -> text-primary"
